,ProductID,Classification,DemandClass,QuantitySold,OrderDate
0,427,A,High demand,50,2003-07-11
1,427,A,High demand,50,2003-07-15
2,427,A,High demand,20,2003-07-14
3,427,A,High demand,25,2003-07-14
4,427,A,High demand,50,2003-07-18
5,427,A,High demand,40,2003-07-21
6,427,A,High demand,10,2003-07-22
7,427,A,High demand,50,2003-07-22
8,427,A,High demand,30,2003-07-23
9,427,A,High demand,70,2003-07-23
10,427,A,High demand,30,2003-07-24
11,427,A,High demand,40,2003-07-25
12,427,A,High demand,30,2003-07-29
13,427,A,High demand,40,2003-07-29
14,427,A,High demand,10,2003-07-30
15,427,A,High demand,30,2003-08-02
16,427,A,High demand,40,2003-08-02
17,427,A,High demand,10,2003-08-04
18,427,A,High demand,5,2003-08-05
19,427,A,High demand,20,2003-08-06
20,427,A,High demand,30,2003-08-08
21,427,A,High demand,10,2003-08-09
22,427,A,High demand,70,2003-08-13
23,427,A,High demand,20,2003-08-14
24,427,A,High demand,20,2003-08-15
25,427,A,High demand,1,2003-08-15
26,427,A,High demand,25,2003-08-16
27,427,A,High demand,10,2003-08-16
28,427,A,High demand,20,2003-08-16
29,427,A,High demand,50,2003-08-19
30,427,A,High demand,40,2003-08-19
31,427,A,High demand,50,2003-08-22
32,427,A,High demand,10,2003-08-22
33,427,A,High demand,10,2003-08-22
34,427,A,High demand,10,2003-08-22
35,427,A,High demand,50,2003-08-23
36,427,A,High demand,50,2003-08-26
37,427,A,High demand,30,2003-08-27
38,427,A,High demand,30,2003-09-02
39,427,A,High demand,50,2003-09-03
40,427,A,High demand,10,2003-09-06
41,427,A,High demand,8,2003-09-06
42,427,A,High demand,30,2003-09-09
43,427,A,High demand,15,2003-09-10
44,427,A,High demand,10,2003-09-12
45,427,A,High demand,5,2003-09-12
46,427,A,High demand,33,2003-09-15
47,427,A,High demand,20,2003-09-17
48,427,A,High demand,90,2003-09-17
49,427,A,High demand,30,2003-09-23
50,427,A,High demand,1,2003-09-23
