,OrderID,CustomerID,EmployeeID,ShippingMethodID,OrderDate,ShipDate,FreightCharge,DeliveryTime,OrderYear,OrderMonth
0,2,1,1,1,2003-07-10,2003-07-10,0.0,0,2003,7
1,4,2,2,1,2003-07-11,2003-07-11,0.0,0,2003,7
2,5,2,1,1,2003-07-15,2003-07-15,0.0,0,2003,7
3,6,3,1,1,2003-07-14,2003-07-14,0.0,0,2003,7
4,7,4,1,1,2003-07-14,2003-07-15,0.0,1,2003,7
5,8,5,1,1,2003-07-14,2003-07-14,0.0,0,2003,7
6,9,5,1,1,2003-07-15,2003-07-15,0.0,0,2003,7
7,10,6,1,1,2003-07-16,2003-07-16,0.0,0,2003,7
8,11,3,1,1,2003-07-16,2003-07-16,0.0,0,2003,7
9,12,3,1,1,2003-07-17,2003-07-17,0.0,0,2003,7
10,13,2,1,1,2003-07-18,2003-07-18,0.0,0,2003,7
11,14,7,2,1,2003-07-18,2003-07-18,0.0,0,2003,7
12,15,9,1,1,2003-07-18,2003-07-18,0.0,0,2003,7
13,16,10,1,1,2003-07-19,2003-07-19,0.0,0,2003,7
14,17,4,1,1,2003-07-21,2003-07-21,0.0,0,2003,7
15,18,11,1,1,2003-07-22,2003-07-22,0.0,0,2003,7
16,19,12,1,1,2003-07-22,2003-07-22,0.0,0,2003,7
17,20,2,1,1,2003-07-22,2003-07-22,0.0,0,2003,7
18,21,5,1,1,2003-07-22,2003-07-22,0.0,0,2003,7
19,22,3,2,1,2003-07-23,2003-07-23,0.0,0,2003,7
20,23,12,2,1,2003-07-23,2003-07-23,0.0,0,2003,7
21,24,2,2,1,2003-07-23,2003-07-23,0.0,0,2003,7
22,25,8,2,1,2003-07-24,2003-07-24,0.0,0,2003,7
23,26,1,1,1,2003-07-24,2003-07-24,0.0,0,2003,7
24,27,8,2,1,2003-07-24,2003-07-24,0.0,0,2003,7
25,28,6,1,1,2003-07-25,2003-07-25,0.0,0,2003,7
26,29,13,1,1,2003-07-25,2003-07-25,0.0,0,2003,7
27,30,7,1,1,2003-07-25,2003-07-25,0.0,0,2003,7
28,31,5,1,1,2003-07-28,2003-07-28,0.0,0,2003,7
29,32,5,2,1,2003-07-29,2003-07-29,0.0,0,2003,7
30,33,14,1,1,2003-07-29,2003-07-29,0.0,0,2003,7
31,34,6,1,1,2003-07-29,2003-07-29,0.0,0,2003,7
32,35,4,1,1,2003-07-29,2003-07-29,0.0,0,2003,7
33,36,15,1,1,2003-07-29,2003-07-29,0.0,0,2003,7
34,37,12,1,1,2003-07-30,2003-07-30,0.0,0,2003,7
35,38,3,2,1,2003-07-31,2003-07-31,0.0,0,2003,7
36,39,8,2,1,2003-07-31,2003-07-31,0.0,0,2003,7
37,40,2,1,1,2003-08-01,2003-08-01,0.0,0,2003,8
38,41,5,2,1,2003-08-02,2003-08-02,0.0,0,2003,8
39,42,4,2,1,2003-08-02,2003-08-02,0.0,0,2003,8
40,43,14,2,1,2003-08-04,2003-08-04,0.0,0,2003,8
41,44,12,2,1,2003-08-04,2003-08-04,0.0,0,2003,8
42,45,5,2,1,2003-08-04,2003-08-04,0.0,0,2003,8
43,46,16,2,1,2003-08-04,2003-08-04,0.0,0,2003,8
44,47,3,1,1,2003-08-05,2003-08-05,0.0,0,2003,8
45,48,17,1,1,2003-08-05,2003-08-05,0.0,0,2003,8
46,49,18,1,1,2003-08-05,2003-08-05,0.0,0,2003,8
47,50,7,1,1,2003-08-05,2003-08-05,0.0,0,2003,8
48,51,18,1,1,2003-08-06,2003-08-06,0.0,0,2003,8
49,52,19,1,1,2003-08-06,2003-08-06,0.0,0,2003,8
50,53,4,1,1,2003-08-07,2003-08-07,0.0,0,2003,8
51,54,5,1,1,2003-08-08,2003-08-08,0.0,0,2003,8
52,55,20,1,1,2003-08-08,2003-08-08,0.0,0,2003,8
53,56,12,2,1,2003-08-09,2003-08-09,0.0,0,2003,8
54,57,3,2,1,2003-08-11,2003-08-11,0.0,0,2003,8
55,58,18,2,1,2003-08-11,2003-08-11,0.0,0,2003,8
56,59,21,2,1,2003-08-12,2003-08-12,0.0,0,2003,8
57,60,5,1,1,2003-08-12,2003-08-12,0.0,0,2003,8
58,61,17,1,1,2003-08-13,2003-08-13,0.0,0,2003,8
59,62,2,1,1,2003-08-13,2003-08-13,0.0,0,2003,8
60,63,2,1,1,2003-08-13,2003-08-14,0.0,1,2003,8
61,66,4,1,1,2003-08-13,2003-08-13,0.0,0,2003,8
62,67,6,2,1,2003-08-14,2003-08-14,0.0,0,2003,8
63,68,8,1,1,2003-08-14,2003-08-14,0.0,0,2003,8
64,69,5,1,1,2003-08-14,2003-08-14,0.0,0,2003,8
65,70,3,2,1,2003-08-15,2003-08-15,0.0,0,2003,8
66,71,5,1,1,2003-08-15,2003-08-15,0.0,0,2003,8
67,72,8,2,1,2003-08-15,2003-08-15,0.0,0,2003,8
68,73,9,1,1,2003-08-15,2003-08-15,0.0,0,2003,8
69,74,13,1,1,2003-08-15,2003-08-15,0.0,0,2003,8
70,75,22,1,1,2003-08-16,2003-08-16,0.0,0,2003,8
71,76,12,1,1,2003-08-16,2003-08-16,0.0,0,2003,8
72,77,5,1,1,2003-08-16,2003-08-16,0.0,0,2003,8
73,78,4,2,1,2003-08-16,2003-08-16,0.0,0,2003,8
74,79,23,2,1,2003-08-16,2003-08-16,0.0,0,2003,8
75,80,22,1,1,2003-08-18,2003-08-18,0.0,0,2003,8
76,81,5,1,1,2003-08-18,2003-08-18,0.0,0,2003,8
77,82,22,1,1,2003-08-18,2003-08-18,0.0,0,2003,8
78,83,11,1,1,2003-08-19,2003-08-19,0.0,0,2003,8
79,84,2,1,1,2003-08-19,2003-08-19,0.0,0,2003,8
80,85,5,2,1,2003-08-19,2003-08-19,0.0,0,2003,8
81,86,1,1,1,2003-08-19,2003-08-19,0.0,0,2003,8
82,87,4,2,1,2003-08-19,2003-08-19,0.0,0,2003,8
83,88,6,2,1,2003-08-20,2003-08-20,0.0,0,2003,8
84,89,5,2,1,2003-08-20,2003-08-20,0.0,0,2003,8
85,90,5,1,1,2003-08-20,2003-08-20,0.0,0,2003,8
86,91,4,2,1,2003-08-20,2003-08-20,0.0,0,2003,8
87,92,18,1,1,2003-08-20,2003-08-20,0.0,0,2003,8
88,93,21,2,1,2003-08-20,2003-08-20,0.0,0,2003,8
89,94,8,1,1,2003-08-20,2003-08-20,0.0,0,2003,8
90,95,20,2,1,2003-08-21,2003-08-21,0.0,0,2003,8
91,96,8,2,1,2003-08-21,2003-08-21,0.0,0,2003,8
92,97,5,1,1,2003-08-22,2003-08-22,0.0,0,2003,8
93,98,2,1,1,2003-08-22,2003-08-22,0.0,0,2003,8
94,99,17,1,1,2003-08-22,2003-08-22,0.0,0,2003,8
95,100,9,1,1,2003-08-22,2003-08-22,0.0,0,2003,8
96,101,24,1,1,2003-08-22,2003-08-22,0.0,0,2003,8
97,102,4,1,1,2003-08-23,2003-08-23,0.0,0,2003,8
98,103,7,1,1,2003-08-23,2003-08-23,0.0,0,2003,8
99,104,22,2,1,2003-08-25,2003-08-25,0.0,0,2003,8
100,105,21,2,1,2003-08-25,2003-08-25,0.0,0,2003,8
101,106,4,2,1,2003-08-26,2003-08-26,0.0,0,2003,8
102,107,22,2,1,2003-08-26,2003-08-26,0.0,0,2003,8
103,108,5,1,1,2003-08-27,2003-08-27,0.0,0,2003,8
104,109,4,1,1,2003-08-29,2003-08-29,0.0,0,2003,8
105,110,4,1,1,2003-08-30,2003-08-30,0.0,0,2003,8
106,111,8,1,1,2003-08-30,2003-08-30,0.0,0,2003,8
107,113,7,1,1,2003-08-30,2003-08-30,0.0,0,2003,8
108,114,22,1,1,2003-08-29,2003-08-29,0.0,0,2003,8
