,ProductID,ProductName,ModelDescription,Category,Gender,ProductLine,Weight,Size,PackSize,Status,InventoryDate,PurchasePrice,ProductType
0,1,3-182,AT,Undershirts,Girls' Undershirts,Underwear,822,M,Dozen,In Production,2003-07-10,6.6,182
1,2,3-183,AT,Undershirts,Girls' Undershirts,Underwear,620,M,Dozen,Out of Production,2003-07-10,5.6,183
2,3,3-184,AT,Undershirts,Girls' Undershirts,Underwear,718,M,Dozen,In Production,2003-07-10,6.3,184
3,4,3-185,AT,Undershirts,Boys' Undershirts,Underwear,820,M,Dozen,In Production,2003-07-10,5.6,185
4,5,3-A30N,A,Briefs,Girls' Panties,Underwear,214,M,Dozen,Out of Production,2003-08-06,3.3,A30N
5,6,3-BX34,BX,Boxers,Boys' Briefs,Underwear,55,M,Single Unit,Out of Production,2003-07-10,0.62,BX34
6,7,3-BX64,BX,Boxers,Boys' Briefs,Underwear,55,M,Single Unit,Out of Production,2003-08-06,0.47,BX64
7,8,3-ERK33,ERK,Briefs,Boys' Briefs,Underwear,389,M,Dozen,Out of Production,2003-07-10,3.25,ERK33
8,9,3-ERK61,ERK,Briefs,Boys' Briefs,Underwear,325,M,Dozen,In Production,2003-07-10,2.7,ERK61
9,10,3-ERK63,ERK,Briefs,Boys' Briefs,Underwear,340,M,Dozen,In Production,2003-07-10,2.55,ERK63
10,11,3-GB31,GB,Briefs,Girls' Panties,Underwear,370,M,Dozen,Out of Production,2003-07-10,2.65,GB31
11,12,3-GB31E,GB,Briefs,Girls' Panties,Underwear,345,M,Dozen,Out of Production,2003-08-06,2.75,GB31E
12,13,3-GB32,GB,Briefs,Girls' Panties,Underwear,330,M,Dozen,Out of Production,2003-07-10,2.65,GB32
13,14,3-GB32E,GB,Briefs,Girls' Panties,Underwear,359,M,Dozen,Out of Production,2003-07-10,2.75,GB32E
14,15,3-GB92,GB,Briefs,Girls' Panties,Underwear,294,M,Dozen,Out of Production,2003-07-10,2.15,GB92
15,16,3-K203,K,Briefs,Girls' Panties,Underwear,280,M,Dozen,Out of Production,2003-07-10,2.7,K203
16,17,3-K21,K,Briefs,Girls' Panties,Underwear,281,M,Dozen,In Production,2003-07-10,2.7,K21
17,18,3-K213,K,Briefs,Girls' Panties,Underwear,269,M,Dozen,Out of Production,2003-07-10,2.65,K213
18,19,3-K218,K,Briefs,Girls' Panties,Underwear,280,M,Dozen,Out of Production,2003-07-10,2.75,K218
19,20,3-K21E,K,Briefs,Girls' Panties,Underwear,276,M,Dozen,In Production,2003-07-10,2.8,K21E
20,21,3-K22,K,Briefs,Girls' Panties,Underwear,381,M,Dozen,Out of Production,2003-08-06,2.0,K22
21,22,3-K22E,K,Briefs,Girls' Panties,Underwear,281,M,Dozen,Out of Production,2003-07-10,2.1,K22E
22,23,3-K23,K,Briefs,Girls' Panties,Underwear,242,M,Dozen,In Production,2003-07-10,2.5,K23
23,24,3-K23E,K,Briefs,Girls' Panties,Underwear,271,M,Dozen,In Production,2003-08-06,2.6,K23E
24,25,3-K24E,K,Briefs,Girls' Panties,Underwear,330,M,Dozen,In Production,2003-08-06,2.7,K24E
25,26,3-K26,K,Briefs,Girls' Panties,Underwear,329,M,Dozen,Out of Production,2003-08-06,2.0,K26
26,27,3-K29,K,Briefs,Girls' Panties,Underwear,273,M,Dozen,In Production,2003-07-10,2.4,K29
27,28,3-K30,K,Briefs,Girls' Panties,Underwear,275,M,Dozen,In Production,2003-07-10,2.6,K30
28,29,3-K30B,K,Briefs,Girls' Panties,Underwear,282,M,Dozen,Out of Production,2003-07-10,2.7,K30B
29,30,3-K30C,K,Briefs,Girls' Panties,Underwear,282,M,Dozen,Out of Production,2003-07-10,3.0,K30C
30,31,3-K30N,K,Briefs,Girls' Panties,Underwear,282,M,Dozen,In Production,2003-07-10,3.2,K30N
31,32,3-K31,K,Briefs,Girls' Panties,Underwear,220,M,Dozen,Out of Production,2003-07-10,2.4,K31
32,33,3-K31E,K,Briefs,Girls' Panties,Underwear,305,M,Dozen,In Production,2003-07-10,2.7,K31E
